ID,Correlativo,Fecha,Categoría,Edad,Talla,IMC,PesoActual_Kg,MA_Per,MA_Kg,MO_kg,MM_Per,MM_Kg,IMO,Sum6Pliegues,Observaciones,TallaSentado,Biacromial,T_delTorax,AntPost_delTorax,Biiliocristal,Humero,Femur,Cabeza,Brazo_Relajado,Brazo_Flexionado,Antebrazo,Torax,Cintura,Cadera,Muslo1cm_Gluteo,MusloMedio,Pierna,Triceps,Subescapular,Supraespinal,Abdominal,Muslo,Pantorrilla,Fecha_registro,Nro_Evaluacion,MG_Per,Std - 4 Clusters,MA_Kg - Grouping,MM_Kg - Grouping,Sum6Pliegues - Grouping,Std - 5 Clusters,Std - 6 Clusters,Height - 4 Clusters,Height - 5 Clusters,Height - 6 Clusters,Age - 4 Clusters,Age - 5 Clusters,Age - 6 Clusters
10000075,6,2023-01-11,Sub-16,16.0,166.5,20.7775342910478,57.6,23.9351576311671,13.7866507955523,7.82961124080838,44.8930055526825,25.8583711983451,3.30263794753561,46.5,"Aumentar 3.6 kg de MM, disminuir 1 puntos en la S6P.",92.1,38.1,26.3,19.5,26.0,7.1,9.7,54.0,24.1,25.1,22.1,83.0,68.0,89.0,52.7,48.9,33.8,7.0,7.5,8.4,11.0,5.4,7.2,2023-10-19 19:58:19.247,1,,2,20-40,0-20,40-60,2,5,1,0,0,1,4,4
10000078,27,2023-01-10,Sub-17,16.0,174.6,24.011683061529,73.2,23.1482581559804,16.9445249701777,8.97422854521602,46.9831173519109,34.3916419015988,3.83226722256057,59.0,"Aumentar 1.5 kg de MM, disminuir 7.4 puntos en la S6P.",93.3,39.9,29.6,19.5,29.5,7.2,9.8,56.2,28.7,30.7,25.8,92.0,80.8,98.6,59.0,53.1,37.1,8.3,9.5,9.3,15.3,8.9,7.7,2023-10-19 19:58:19.247,1,13.69,2,80-100,60-80,80-100,2,5,0,3,3,1,4,4
10000081,28,2023-01-10,Sub-17,16.8,174.7,20.1178961136746,61.4,25.8502320093875,15.8720424537639,7.2392080054061,44.3626435896319,27.238663164034,3.76265789623571,46.6,"Aumentar 5.9 kg de MM, mantener S6P.",96.9,39.7,26.8,19.3,24.9,6.5,9.2,54.0,27.0,29.2,23.6,85.0,70.5,90.2,50.0,47.0,32.7,6.6,7.5,9.0,11.0,6.9,5.6,2023-10-19 19:58:19.247,1,,2,80-100,0-20,40-60,2,5,0,3,3,1,4,1
10000087,896,2023-01-06,Reserva,17.3,165.9,2.7523,58.0,21.13,12.254,6.727,48.54,28.155,4.1854,36.0,,86.7,35.7,24.3,19.7,24.8,6.4,9.3,55.1,26.4,28.3,23.0,82.7,70.2,85.2,51.2,48.9,35.5,6.0,6.5,4.0,7.0,9.0,3.5,2024-01-27 20:03:20.700,6,12.45,2,0-20,20-40,0-20,2,5,1,0,0,2,2,1
10000088,30,2023-01-10,Sub-17,16.6,175.4,21.6803683127278,66.7,22.3186911489941,14.8865669963791,9.0476054782108,46.4666273697875,30.9932404556483,3.42557381953587,44.7,"Aumentar 1.4 kg de MM, mantener S6P.",94.7,38.7,29.6,19.3,28.5,7.5,10.0,58.0,26.5,27.8,25.2,89.1,72.1,93.5,54.2,51.0,35.7,7.5,7.5,9.3,7.8,5.9,6.7,2023-10-19 19:58:19.247,1,11.86,2,60-80,40-60,40-60,2,5,0,3,3,1,4,4
10000095,11,2023-01-11,Sub-16,15.8,168.0,19.3098072562358,54.5,20.9960091372772,11.4428249798161,6.38676514760352,48.7718499566212,26.5806582263585,4.16183429514897,34.5,"Aumentar 2.5 kg de MM, mantener S6P.",89.4,36.9,27.2,17.9,24.8,6.5,9.1,55.2,25.8,27.6,23.7,85.5,70.0,84.2,50.7,48.9,33.2,4.9,6.7,7.8,6.2,5.4,3.5,2023-10-19 19:58:19.247,1,,2,0-20,0-20,0-20,2,5,1,0,0,1,4,4
10000097,283,2023-03-07,Sub-16,15.9,172.7,20.7541988694829,61.9,22.8073196690887,14.1177308751659,8.0038346135834,45.4296404872347,28.1209474615983,3.51343434981451,44.6,"Mantener MM, disminuir 16.2 puntos en la S6P.",91.4,39.6,27.1,20.1,27.0,6.9,9.7,55.1,25.3,26.6,23.0,89.1,75.7,91.5,52.1,42.4,35.5,7.6,7.8,6.4,9.6,7.3,5.9,2023-10-19 19:58:19.247,1,14.49,2,40-60,20-40,40-60,2,5,0,3,3,1,4,4
10000099,12,2023-01-11,Sub-16,15.7,161.2,22.3201916149967,58.0,20.1774633159436,11.7029287232473,7.16157374763607,49.4448816265661,28.6780313434083,4.00443147749117,41.8,"Aumentar 1.4 kg de MM, mantener S6P.",85.0,37.8,27.7,18.9,25.3,6.3,9.2,56.0,26.8,29.2,24.5,84.6,70.0,87.9,53.2,51.5,35.8,5.7,7.5,8.7,6.8,5.4,7.7,2023-10-19 19:58:19.247,1,10.25,2,0-20,20-40,20-40,1,5,1,4,2,1,0,4
10000105,113,2023-01-09,Sub-18,17.7,171.2,22.4159861123242,65.7,20.9131539651337,13.7399421550929,7.83448091910418,50.3911908276024,33.1070123737348,4.22580802934935,44.6,Reducir 2.5 kg de masa adiposa / NO APTO,91.4,39.0,28.1,18.9,25.9,7.2,9.8,55.6,29.4,31.5,26.5,89.7,72.3,91.4,56.0,53.0,35.7,7.5,8.3,8.4,9.4,6.4,4.6,2023-10-19 19:58:19.247,1,13.65,2,20-40,60-80,40-60,2,3,0,0,3,2,2,1
10000106,13,2023-01-11,Sub-16,16.0,169.1,22.9412260476639,65.6,23.1416847458487,15.1809451932768,7.77088177787542,47.6948028627785,31.2877906779827,4.02628576425685,52.5,"Mantener MM, disminuir 9 puntos en la S6P.",95.4,37.2,29.4,19.1,26.8,6.5,9.9,56.6,27.5,29.4,24.2,88.3,70.5,92.2,57.5,54.4,35.2,10.1,7.1,8.4,8.9,10.8,7.2,2023-10-19 19:58:19.247,1,12.59,2,60-80,40-60,60-80,2,5,1,0,0,1,4,4
10000107,258,2023-01-07,Sub-18,17.9,176.0,23.308367768595,72.2,22.2960447362782,16.0977442995928,8.76859524791449,48.1696766021476,34.7785065067506,3.96625748178105,51.7,Reducir 1. 2 kg de masa adiposa y aumentar 0.7 kg de masa muscular / APTO,97.5,38.5,30.9,19.6,30.0,6.7,10.5,55.3,29.0,31.0,25.1,92.4,76.7,96.0,57.7,56.2,35.9,6.6,10.7,10.2,15.3,4.9,4.0,2023-10-19 19:58:19.247,1,11.19,2,80-100,60-80,60-80,2,3,0,3,3,2,2,1
10000111,123,2023-01-09,Sub-18,17.7,158.7,22.5127840452257,56.7,23.1811873444989,13.1437332243309,6.9082872829752,47.5114585839811,26.9389970171173,3.89951892757932,59.2,Aumentar 1.1 kg de masa muscular / APTO ,89.2,37.7,27.7,18.8,25.5,7.2,9.7,51.5,27.0,29.2,24.0,86.5,71.4,92.0,55.3,52.1,34.1,9.2,8.3,10.2,15.3,7.4,8.8,2023-10-19 19:58:19.247,1,,2,20-40,0-20,80-100,2,5,1,4,2,2,2,1
10000123,541,2023-07-21,Sub-18,18.9,179.0,24.9680097375238,80.0,23.6,18.883,9.083,49.37,39.498,4.3486,70.8,Disminuir 29.8 puntos en la S6P.,95.9,42.7,31.7,21.0,29.4,7.2,10.1,55.7,33.0,34.6,28.0,101.6,79.3,100.0,61.8,58.4,38.4,11.0,9.8,7.4,21.0,10.0,11.6,2023-10-19 19:58:19.247,1,,2,80-100,80-100,80-100,2,3,3,3,1,2,2,3
10000125,240,2023-03-04,Sub-17,17.0,172.4,23.0470873864805,68.5,22.0009600714521,15.0706576489447,9.08044764349263,46.3000960022844,31.7155657615648,3.4927315267649,50.0,"Mantener MM, disminuir 3.8 puntos en la S6P.",92.4,43.0,18.2,31.0,28.5,6.7,9.2,56.0,27.0,29.0,24.0,94.0,78.0,92.3,54.0,53.3,35.8,8.5,10.3,6.4,10.7,8.2,5.9,2023-10-19 19:58:19.247,1,,2,60-80,40-60,60-80,2,5,0,3,3,1,4,1
10000129,33,2023-01-10,Sub-17,16.7,166.3,20.1766797357072,55.8,23.0952875571753,12.8871704569038,6.7368173228237,46.6083830598693,26.0074777474071,3.8604991795304,43.8,"Aumentar 5.4 kg de MM, mantener S6P.",90.4,37.9,27.6,18.7,25.5,6.5,9.1,53.2,26.1,27.2,22.5,85.2,69.1,85.1,49.5,48.9,34.3,6.6,8.3,9.0,9.4,5.9,4.6,2023-10-19 19:58:19.247,1,,2,0-20,0-20,20-40,2,5,1,0,0,1,4,4
10000131,128,2023-01-09,Sub-18,17.9,168.7,21.1527251350946,60.2,22.8445110380095,13.7523956448817,7.51523248070579,46.6376815823246,28.0758843125594,3.73586371208608,46.6,Reducir 1.5 kg de masa adiposa y aumentar 3 kg de masa muscular / NO APTO,92.0,39.1,27.9,18.2,25.8,6.4,9.1,57.7,26.9,28.4,22.9,86.5,72.5,88.3,52.5,47.7,35.4,6.6,9.1,9.0,9.4,7.9,4.6,2023-10-19 19:58:19.247,1,11.6,2,20-40,20-40,40-60,2,3,1,0,0,2,2,1
